"% GC","L13_pBIC10_1733","L14_pBIC10_1734","L15_pBIC10_1740","P10_pBIC_1766","P11_pBIC_1521","P9_pBIC_1761","Y2_YC_1669","Y3_YC_1671","Y4_YC_1067","Y6_YC_1070"
0,0.00195091391854918,0.00052821517356868,0.0003457512161579271,0.0006331774600012424,0.000358435756862908,0.00014874509957203555,0.0006620266252146449,0.0006844085171514153,0.000779138323933793,0.003978022312674578
1,0.0015437042310286623,0.00047477706262398863,0.0003330541375984552,0.000587072305146783,0.00031951987468922084,0.00030678676786732336,0.0006128357923813586,0.0005883870237003213,0.0006707542526254175,0.0028885932945926273
2,0.0011364945435081446,0.00042133895167929727,0.00032035705903898335,0.0005409671502923236,0.00028060399251553366,0.0004648284361626111,0.0005636449595480724,0.0004923655302492272,0.0005623701813170421,0.001799164276510676
3,0.001966299675004615,0.000559044852959848,0.00047565209680483196,0.0007038720307780801,0.0003973516390365952,0.0007643845394674049,0.0007050686039437705,0.0007467203373696785,0.000776070850217518,0.0021311529227715743
4,0.0027961048065010853,0.000696750754240399,0.0006309471345706805,0.0008667769112638367,0.0005140992855576567,0.0010639406427721987,0.0008464922483394687,0.0010010751444901299,0.0009897715191179942,0.002463141569032473
5,0.0026894302284100682,0.0009290010056538651,0.0009073527678268766,0.0011321376914261696,0.0007199438202132124,0.0013149479983000088,0.001184679224068312,0.0014076342337830602,0.0013742282248910994,0.003218634793368125
6,0.002582755650319051,0.0011612512570673315,0.0011837584010830726,0.0013974984715885025,0.000925788354868768,0.001565955353827819,0.0015228661997971555,0.0018141933230759906,0.0017586849306642045,0.003974128017703776
7,0.00506396530803223,0.002094362886640019,0.0022835207440034845,0.002203826402043159,0.0015904306583088461,0.0019977293234188665,0.00218079358894236,0.0024965588297284464,0.002390584516216808,0.005132680771517469
8,0.007545174965745408,0.0030274745162127067,0.003383283086923897,0.003010154332497816,0.0022550729617489243,0.002429503293009914,0.0028387209780875644,0.003178924336380902,0.003022484101769412,0.0062912335253311625
9,0.009844832697284452,0.004845397944311918,0.005720522240217455,0.004870753470624443,0.003492188374007189,0.0039035259116855722,0.004008028066895474,0.0045630639494259285,0.004506118889207645,0.008416545005646533
10,0.012144490428823497,0.006663321372411131,0.008057761393511014,0.0067313526087510725,0.0047293037862654545,0.00537754853036123,0.005177335155703384,0.005947203562470955,0.005989753676645878,0.010541856485961903
11,0.016459682256024545,0.00873404817151792,0.010693870242127526,0.00941467262128061,0.007120582335622284,0.007731646321504765,0.007262821506031252,0.007939138798956418,0.008394653070205302,0.013993175403835469
12,0.0207748740832256,0.01080477497062471,0.013329979090744036,0.012097992633810147,0.009511860884979111,0.0100857441126483,0.00934830785635912,0.00993107403544188,0.010799552463764725,0.017444494321709032
13,0.02996529927260554,0.015468277806528737,0.01860317348632779,0.01673822033016229,0.013942126839804656,0.014994332398525474,0.012891072629373095,0.013732095068755935,0.015198309772902752,0.022589831551881608
14,0.03915572446198548,0.020131780642432765,0.023876367881911543,0.02137844802651444,0.018372392794630196,0.019902920684402647,0.01643383740238707,0.01753311610206999,0.01959706708204078,0.027735168782054186
15,0.05353730387942925,0.02807247839761796,0.03294989556018031,0.02966815486934624,0.025078213754453973,0.028161372566891704,0.024030746648077726,0.025406878565059708,0.028581697597009598,0.03802194894742854
16,0.06791888329687301,0.03601317615280315,0.04202342323844907,0.037957861712178034,0.03178403471427775,0.03641982444938076,0.031627655893768376,0.033280641028049424,0.03756632811197841,0.04830872911280289
17,0.09069595715349925,0.049264800011106905,0.05706067104626672,0.0512433182232397,0.043851030494608166,0.05057230090241173,0.043760369850294974,0.046325263063905504,0.051502883696253485,0.06465990012145917
18,0.11347303101012549,0.06251642386941066,0.07209791885408436,0.06452877473430137,0.055918026274938575,0.0647247773554427,0.05589308380682158,0.059369885099761585,0.06543943928052853,0.08101107113011544
19,0.14224131843049817,0.08934235556364571,0.10250058511556447,0.08945322144862211,0.07766381159272998,0.08972325065226792,0.08253504383113291,0.0887810642427818,0.09487593955314004,0.112861536122565
20,0.17100960585087085,0.11616828725788078,0.13290325137704456,0.11437766816294287,0.09940959691052136,0.11472172394909315,0.10917700385544425,0.11819224338580202,0.12431243982575155,0.14471200111501453
21,0.21962757053294898,0.17291442280124447,0.18817363434642576,0.15956071992031307,0.14192929459392445,0.16671536691408212,0.18672327739006805,0.19793196466543878,0.18997989465252318,0.22330374149451904
22,0.26824553521502703,0.22966055834460816,0.24344401731580695,0.2047437716776833,0.18444899227732753,0.21870900987907105,0.26426955092469184,0.2776716859450756,0.2556473494792948,0.30189548187402354
23,0.32842333158062215,0.2738888163991779,0.2945917565467626,0.25159480548178814,0.2290824368240593,0.2685024649128903,0.30581940772454097,0.3261441530433874,0.3071256933858181,0.3528669351731125
24,0.3886011279462172,0.31811707445374765,0.3457394957777184,0.298445839285893,0.27371588137079106,0.3182959199467096,0.34736926452439015,0.37461662014169933,0.35860403729234136,0.4038383884722015
25,0.47345254908084516,0.3873656726462097,0.4207323485433624,0.3638342190184809,0.3338665218831994,0.386707303276962,0.42272142195284595,0.4464672563796042,0.43395755162386995,0.47873054862944375
26,0.5583039702154731,0.4566142708386718,0.49572520130900627,0.4292225987510687,0.39401716239560763,0.45511868660721433,0.4980735793813017,0.518317892617509,0.5093110659553985,0.5536227087866861
27,0.6756695976088237,0.5675075999527237,0.6047520848041393,0.5280218473681881,0.48759142518440085,0.5620788086244722,0.6564250191257546,0.6886099682425255,0.6561367178761294,0.7010723992661746
28,0.7930352250021743,0.6784009290667756,0.7137789682992723,0.6268210959853077,0.5811656879731941,0.6690389306417301,0.8147764588702073,0.8589020438675419,0.8029623697968603,0.8485220897456631
29,0.9115988899648547,0.789823501010376,0.8288867757260416,0.726853913634533,0.6783509349868405,0.7844186450660136,0.9610413010639147,1.006113208380564,0.9391162806586713,0.9856645550111808
30,1.0301625549275353,0.9012460729539762,0.943994583152811,0.8268867312837583,0.7755361820004869,0.8997983594902969,1.107306143257622,1.153324372893586,1.075270191520482,1.1228070202766982
31,1.1576038013650016,1.0634995926217548,1.1080066536989124,0.9737357477311988,0.9203831436552755,1.0693574434816138,1.3608551670517097,1.4230528340187072,1.294174318334999,1.3677776454150188
32,1.2850450478024684,1.2257531122895333,1.2720187242450138,1.1205847641786388,1.065230105310064,1.2389165274729306,1.614404190845797,1.6927812951438284,1.5130784451495158,1.6127482705533391
33,1.4703603300056027,1.3957572133562515,1.4480236738397119,1.2931133273210162,1.224703294049184,1.411292471787393,1.8425256533011451,1.925958255432066,1.720468298124376,1.8274826159646078
